Surface,Radius,Thickness,Material,Comment
0,inf,inf,,
1,22.013592508427536,3.25895583,SK16,
2,-435.76043616830793,6.0075511,,
3,-22.213277182315093,1.599974567,F2,
4,20.291924125273336,4.75040893,,
5,79.68360255049363,2.95207564,SK16,
6,-18.35985799392488,42.2077801,,
7,inf,inf,,
