design,case_index,delta_mm,actual_thickness_mm,mtf_30_avg,mtf_40_avg,mtf_50_avg,final_score
initial,5,-0.2,0.799974567,0.424941,0.181809,0.031166,0.1944913999999999
best,7,0.2,1.199974567,0.794333,0.710434,0.6288,0.7029501
